paper_id,title,session,page_count,pdf_url,overall_reporting,training_compute,training_terms,training_evidence_clue,inference_compute,inference_terms,inference_evidence_clue,hardware_terms_anywhere,extraction_note
36,A Closed-Loop Multi-Agent Framework for Robust Multi-Robot Manipulation,Session Multi-robot Systems,12,https://www.roboticsproceedings.org/rss22/p036.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,desktop,Automatic full-text regex extraction; verify PDF for final claims.
37,USER: A Unified and Extensible System for Online Real-World Policy Learning in Embodied AI,Session Multi-robot Systems,11,https://www.roboticsproceedings.org/rss22/p037.pdf,Training + inference reported,Explicit HW + time,RTX 4090; 30 minutes; 24GB,"A single RTX 4090 like GPUs, cameras and space mouse), or configuration-driven is shared by both the rollout node and the training node (actor ...",Explicit runtime HW,GPU; GPUs; CPU,"These properties make real-world localization and bandwidth reduction, and streaming multipro- online policy learning not merely an algorithmic challenge, but cessor (SM)-budgeted weight synchronization ...",RTX 4090; NVIDIA A100; GPUs; GPU; CPU; NVIDIA; CUDA; workstation,Automatic full-text regex extraction; verify PDF for final claims.
38,KlaskTron: An Open-Source Platform for Physical Adversarial Multi-Agent RL,Session Multi-robot Systems,10,https://www.roboticsproceedings.org/rss22/p038.pdf,Training + inference reported,Explicit HW only,GPU,"native simulation environment enables: The system must account for non-linearities such as friction, • Massively Parallel Training: Thousands of independent the torque–speed envelope of ...",Explicit HW + latency/rate,RTX 4090; 50 Hz; 111 ms,"surface peg, together with the transient delays inherent in • Rapid Iteration: 20 million PPO steps complete in a 50 Hz control loop and ...",RTX 4090; desktop; GPU; NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
39,Event-Driven Sleep-Wake Scheduling for Heterogeneous Robots under LTL Constraints,Session Multi-robot Systems,10,https://www.roboticsproceedings.org/rss22/p039.pdf,Training + inference reported,Explicit HW only,A100,"The NL-to-LTL translator is trained on 8 A100 GPUs, using Qwen3-8B with Parameter Symbol Range / value either full-parameter or LoRA adaptation and a ...",Partial real-time/runtime clue,Not reported,The learned scheduling policy then focuses providing real-time reactive capabilities [9].,NVIDIA RTX 4090; A100; workstation; NVIDIA; GPU; GPUs,Automatic full-text regex extraction; verify PDF for final claims.
40,Interactive Knowledge Distillation with Adaptive Teachers in Cooperative Multi-Agent Reinforcement Learning,Session Multi-robot Systems,11,https://www.roboticsproceedings.org/rss22/p040.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
41,Model-Based Diffusion Optimal Control for Multi-Robot Motion Planning,Session Multi-robot Systems,11,https://www.roboticsproceedings.org/rss22/p041.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,NVIDIA; GPU; CPU,Automatic full-text regex extraction; verify PDF for final claims.
42,Optimal UGV–UAV Cooperative Partitioning and Inspection of Shortest Paths,Session Multi-robot Systems,10,https://www.roboticsproceedings.org/rss22/p042.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,"The algorithm has a time New York 39.116 54.794 50.185 45.515 complexity quadratic in the number of path edges, making it Sao Paulo 42.558 ...",Not found,Automatic full-text regex extraction; verify PDF for final claims.
43,Time-Aggregated Connectivity Maintenance for Multi-Robot Networks,Session Multi-robot Systems,11,https://www.roboticsproceedings.org/rss22/p043.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,66 ms; 15 ms; 67 Hz,"Updating TWA-MST takes about 66 ms, but this com- motions.",Not found,Automatic full-text regex extraction; verify PDF for final claims.
44,Safe Multi-Agent Navigation via Constrained HJB-Informed Learning,Session Multi-robot Systems,10,https://www.roboticsproceedings.org/rss22/p044.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit runtime HW,embedded; onboard,"The computational performance advantage becomes more pronounced as obstacle cost is minimal; for typical problem sizes, inference can be density intensifies, primarily due to ...",NVIDIA Jetson Orin; onboard; embedded; NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
45,TACO: Temporal Consensus Optimization for Continual Neural Mapping,Session Localization & Mapping,14,https://www.roboticsproceedings.org/rss22/p045.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,"We first review Co- close to zero, which corresponds to points near the estimated SLAM [45], a real-time neural implicit mapping framework surface intersection ...",CPU; GPU; NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
46,Dr-BA: Separable Optimization for Direct Radar Bundle Adjustment & Localization,Session Localization & Mapping,11,https://www.roboticsproceedings.org/rss22/p046.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,CPU; 4 Hz; 500 ms; 200 ms; 32 GB,"While transla- Core(TM) i7-12800H CPU @ 4.8 GHz and 32 GB of RAM, tional performance is comparable to RTR, DRL-Dr-BA making it ‘real-time’ for ...",laptop; GPU; Laptop; CPU,Automatic full-text regex extraction; verify PDF for final claims.
47,Efficient Feature-Free Initialization for Monocular Visual-Inertial Systems Using A Feed-Forward 3D Model,Session Localization & Mapping,11,https://www.roboticsproceedings.org/rss22/p047.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,GPU; 30 Hz; 200 Hz,"Incorporating scale provides RGB images at 30 Hz and consumer-grade IMU constraints improves both accuracy and SR, and yields only measurements at 200 Hz.",GPU,Automatic full-text regex extraction; verify PDF for final claims.
48,UP-Fuse: Uncertainty-guided LiDAR-Camera Fusion for 3D Panoptic Segmentation,Session Localization & Mapping,9,https://www.roboticsproceedings.org/rss22/p048.pdf,Training + inference reported,Explicit HW only,GPU,Robustness Analysis NVIDIA A40 GPU with batch size 1 following the evaluation protocol used by IAL [29].,Explicit latency/rate,5.7 FPS; 0.9 FPS,"UP-Fuse (Ours) LC 80.7 84.3 90.3 89.0 83.0 77.0 5.7 Crucially, the competitive performance of UP-Fuse is achieved IAL-PieAug [29] LC 82.3 84.7 91.5 ...",NVIDIA; GPU,Automatic full-text regex extraction; verify PDF for final claims.
49,BIEVR-LIO: Robust LiDAR-Inertial Odometry through Bump-Image-Enhanced Voxel Maps,Session Localization & Mapping,11,https://www.roboticsproceedings.org/rss22/p049.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,onboard; 1 ms,The generation and export of this elevation map takes approximately 1 ms.,CPU; onboard,Automatic full-text regex extraction; verify PDF for final claims.
50,Continuum Robot Localization using Distributed Time-of-Flight Sensors,Session Localization & Mapping,11,https://www.roboticsproceedings.org/rss22/p050.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,15 Hz; 120 Hz; 20 Hz,A small section of most 15 Hz.,TPU; onboard,Automatic full-text regex extraction; verify PDF for final claims.
51,VGGT-SLAM 2.0: Real-time Dense Feed-forward Scene Reconstruction,Session Localization & Mapping,11,https://www.roboticsproceedings.org/rss22/p051.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit HW + latency/rate,Jetson Thor; 6.3 FPS; 8 ms; 368 ms; 7.2 FPS; 8.4 FPS; 6.9 FPS,"submap of size 16 frames using a 3090 GPU if no open-set To demonstrate real-time usage of VGGT-SLAM 2.0 for CLIP vectors are computed, ...",Jetson Thor; RTX 4090; onboard; GPU,Automatic full-text regex extraction; verify PDF for final claims.
52,SuperMap: A Spatio-Temporal SLAM System for Visual-Language Navigation,Session Localization & Mapping,10,https://www.roboticsproceedings.org/rss22/p052.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,3 Hz; 5 Hz; 10 Hz; 1 Hz,"Furthermore, our current pipeline relies on a pre- at 3 Hz and 5 Hz, respectively.",NVIDIA RTX 4090; onboard; CPU; NVIDIA; Laptop; GPU; Onboard,Automatic full-text regex extraction; verify PDF for final claims.
53,Provably Guaranteed Polytopic Uncertainty Quantification for SLAM,Session Localization & Mapping,10,https://www.roboticsproceedings.org/rss22/p053.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,"(ii) Real-time performance: (pl , ql ), we transform pl using the relative pose (R, t) and While tractable, the current algorithms are still ...",onboard; CPU,Automatic full-text regex extraction; verify PDF for final claims.
54,CoRAL: Contact-Rich Adaptive LLM-based Control for Robotic Manipulation,Session Manipulation 2,11,https://www.roboticsproceedings.org/rss22/p054.pdf,Training + inference reported,Explicit HW only,T4,"We believe this hybrid paradigm—coupling large- framework also maintained robust performance on contact- scale, pre-trained knowledge with rigorous real-time con- critical tasks (T1, T4, ...",Explicit HW + latency/rate,T4; 1Hz,"A procedural helper then constructs an ellipsoid • Tier 3 (Reasoning Level): The LLM operates asyn- E(cref , A) centered at cref , with ...",T4,Automatic full-text regex extraction; verify PDF for final claims.
55,GHOST: Hierarchical Sub-Goal Policies for Generalizing Robot Manipulation,Session Manipulation 2,10,https://www.roboticsproceedings.org/rss22/p055.pdf,Not reported,Not reported,Not reported,,Not reported,Not reported,,Not found,Automatic full-text regex extraction; verify PDF for final claims.
56,Robo3R: Enhancing Robotic Manipulation with Accurate Feed-Forward 3D Reconstruction,Session Manipulation 2,11,https://www.roboticsproceedings.org/rss22/p056.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,10 Hz,The control frequency of the are approximately 8× and 5× lower than those of the best robotic system is set to 10 Hz.,NVIDIA RTX 4090; NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
57,Semantically Structured Mixture-of-Experts for Compositional Robotic Manipulation,Session Manipulation 2,11,https://www.roboticsproceedings.org/rss22/p057.pdf,Training + inference reported,Explicit HW + time,NVIDIA RTX 4090; 4 hours; 3 days,"In our implementation, SMoDP takes approximately 4 hours to train on a single NVIDIA RTX 4090.",Explicit latency/rate,121 ms,"Data Utilization Efficiency the average inference time is about 121 ms per action chunk, which is comparable to standard MoE diffusion policies.",NVIDIA RTX 4090; L4; NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
58,Learning Native Continuation for Action Chunking Flow Policies,Session Manipulation 2,11,https://www.roboticsproceedings.org/rss22/p058.pdf,Inference-side only/mostly,Not reported,Not reported,,Partial real-time/runtime clue,Not reported,"quires chunk continuation to be a native, learned property of Real-Time Chunking (RTC) [8] was proposed to mitigate the policy.",Not found,Automatic full-text regex extraction; verify PDF for final claims.
59,DexEvolve: Evolutionary Optimization for Robust and Diverse Dexterous Grasp Synthesis,Session Manipulation 2,11,https://www.roboticsproceedings.org/rss22/p059.pdf,"Hardware mentioned, cost not tied to train/infer",Not reported,Not reported,,Not reported,Not reported,,NVIDIA A6000; GPU; NVIDIA; GPUs,Automatic full-text regex extraction; verify PDF for final claims.
60,TACTIC: Tactile and Vision Conditioned Contact-Centric Control for Whole-Arm Manipulation,Session Manipulation 2,11,https://www.roboticsproceedings.org/rss22/p060.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit latency/rate,12 Hz; 800 Hz,"At the planning layer, an MPPI loop runs at ∼12 Hz.",Not found,Automatic full-text regex extraction; verify PDF for final claims.
61,Distributionally Robust Control via Stein Variational Inference for Contact-rich Manipulation,Session Manipulation 2,11,https://www.roboticsproceedings.org/rss22/p061.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit runtime HW,RTX 3080,We demonstrate accurate modeling RTX 3080) compared to the CPU (AMD Ryzen Threadripper of task-aware posterior via Stein variational inference and 3960X 24-Core Processor).,GeForce RTX 3080; RTX 3080; cpu; gpu; CPU; GPU; NVIDIA,Automatic full-text regex extraction; verify PDF for final claims.
62,PolaRiS: Scalable Real-to-Sim Evaluations for Generalist Robot Policies,Session Manipulation 2,12,https://www.roboticsproceedings.org/rss22/p062.pdf,Training-side only/mostly,Explicit time only,20 minutes,"The total human effort required for creating a new eval- uation environment is typically less than 20 minutes, and the total wall time for ...",Not reported,Not reported,,embedded,Automatic full-text regex extraction; verify PDF for final claims.
63,MVP-Nav: Multi-layer Value Map Planner Navigator,Session Navigation 1,12,https://www.roboticsproceedings.org/rss22/p063.pdf,Inference-side only/mostly,Not reported,Not reported,,Explicit runtime HW,onboard,Mf loor are isolated and passed to the low-level execution loop as a benchmark for real-time semantic re-projection verifica- Algorithm 1 MVP-Nav: Recursive Navigation ...,onboard; workstation; NVIDIA; GPU; CPU; server,Automatic full-text regex extraction; verify PDF for final claims.
64,Self-Supervised Bootstrapping of Action-Predictive Embodied Reasoning,Session Navigation 1,41,https://www.roboticsproceedings.org/rss22/p064.pdf,Training + inference reported,Explicit HW only,NVIDIA A100; NVIDIA H100; 40GB,The prior-posterior model Mpq is trained on 64 NVIDIA A100 GPUs (40GB) with a total batch size of 512.,Explicit HW + latency/rate,NVIDIA H100; 2Hz; 3 seconds per step,"We follow [85, 86] and use 2 seconds of history to predict 3-second of future trajectories at a 2Hz frequency.",NVIDIA A100; NVIDIA H100; GPU; NVIDIA; gpu; GPUs,Automatic full-text regex extraction; verify PDF for final claims.
65,D-Nav: End-to-End Dynamic UAV Navigation with Dual-Resolution Motion Awareness,Session Navigation 1,10,https://www.roboticsproceedings.org/rss22/p065.pdf,Training + inference reported,Explicit HW only,NVIDIA A100,Training （C） Medium Dynamic （D） Complex Dynamic and inference are performed on an NVIDIA A100 GPU and an Intel 8575C CPU.,Explicit HW + latency/rate,NVIDIA A100; 20 Hz; 37.06 ms,"Training uses a batch size of 256, a learning rate of 5 × 10−4 , and an episode horizon of 1500 steps at a ...",NVIDIA A100; Jetson NX; NVIDIA; GPU; CPU; ONBOARD,Automatic full-text regex extraction; verify PDF for final claims.
